Time	eventName	event	eventArrivingTime	waitingTime
8.769434143333138	eastMovingCar_0	1	4.622485948811487	4.14694819452165
37.2132082819298	eastMovingCar_1	1	26.152214933833218	11.060993348096584
41.77976601379538	eastMovingCar_2	1	32.42499458883457	9.35477142496081
64.40344079037843	eastMovingCar_3	1	43.28750511718185	21.115935673196574
69.37329579771608	eastMovingCar_4	1	55.5191403876713	13.854155410044783
73.21118374564834	eastMovingCar_5	1	60.48082946024922	12.730354285399123
76.7323975884359	eastMovingCar_6	1	67.34538302609072	9.387014562345186
81.1432548944253	eastMovingCar_7	1	68.78538953757652	12.357865356848777
85.49854510558582	eastMovingCar_8	1	79.05570477130277	6.442840334283048
100.42461754341117	eastMovingCar_9	1	97.32644371418952	3.0981738292216505
108.81218064691886	eastMovingCar_10	1	101.50451892631034	7.307661720608522
118.16990791138159	eastMovingCar_11	1	110.41296510279433	7.7569428085872545
122.58365788271874	eastMovingCar_12	1	114.06742842619384	8.516229456524897
132.3938053199749	eastMovingCar_13	1	128.35877317962152	4.0350321403533655
140.6206453052533	eastMovingCar_14	1	134.26501191794483	6.3556333873084725
144.2206866978256	eastMovingCar_15	1	139.37422909971855	4.846457598107065
148.35727957167614	eastMovingCar_16	1	140.0389335730713	8.318345998604855
153.08434771277808	eastMovingCar_17	1	142.79660526578724	10.287742446990848
156.68215301463903	eastMovingCar_18	1	147.14212197226618	9.540031042372846
161.34931103080268	eastMovingCar_19	1	147.3629826400582	13.98632839074449
165.40574064751235	eastMovingCar_20	1	148.085667283341	17.32007336417135
168.94650458081247	eastMovingCar_21	1	153.424851598481	15.52165298233146
173.06750402088244	eastMovingCar_22	1	153.87833938084972	19.189164640032715
177.03084564950586	eastMovingCar_23	1	154.73733098489149	22.293514664614378
180.49528226129823	eastMovingCar_24	1	156.43231571647027	24.062966544827958
184.54064865353425	eastMovingCar_25	1	158.61166104368823	25.92898760984602
188.2559913124645	eastMovingCar_26	1	182.85225107166838	5.403740240796111
192.68904162848622	eastMovingCar_27	1	185.02560299588694	7.663438632599281
250.15560817062646	eastMovingCar_28	1	197.21689872768272	52.93870944294375
254.6640779623923	eastMovingCar_29	1	208.3296714467671	46.334406515625204
257.9918597075733	eastMovingCar_30	1	211.84346212558083	46.1483975819925
261.8585747860182	eastMovingCar_31	1	218.5010523375448	43.35752244847342
265.62856214272324	eastMovingCar_32	1	221.57403514929499	44.054526993428254
269.7422973020966	eastMovingCar_33	1	245.8252072091317	23.917090092964884
273.43578561833624	eastMovingCar_34	1	256.85481703711565	16.58096858122059
277.21654820464425	eastMovingCar_35	1	260.1314018036905	17.08514640095376
281.3607746478504	eastMovingCar_36	1	261.53729312248805	19.823481525362354
285.359790438348	eastMovingCar_37	1	270.0345392830274	15.325251155320586
289.5585250909084	eastMovingCar_38	1	273.7441343773436	15.81439071356482
293.6900057794242	eastMovingCar_39	1	284.64757328373344	9.042432495690775
298.0667161634144	eastMovingCar_40	1	287.04922229490643	11.017493868507984
302.08874255604036	eastMovingCar_41	1	294.8239475047013	7.264795051339036
359.8437412726058	eastMovingCar_42	1	309.1382547715583	50.70548650104752
364.0043360741011	eastMovingCar_43	1	309.74694630596645	54.25738976813466
368.432833009461	eastMovingCar_44	1	311.18950150976775	57.24333149969323
372.58220655086296	eastMovingCar_45	1	313.4898835553047	59.09232299555828
377.05147786470263	eastMovingCar_46	1	314.5637124665102	62.48776539819244
380.78364300567165	eastMovingCar_47	1	323.7771948210137	57.00644818465793
384.5369928719925	eastMovingCar_48	1	331.79871837149074	52.738274500501745
389.0515122934878	eastMovingCar_49	1	331.84149573784777	57.21001655564004
392.1238789333698	eastMovingCar_50	1	332.22064962553463	59.90322930783515
395.608663390079	eastMovingCar_51	1	334.8661358060364	60.74252758404259
400.0162746770913	eastMovingCar_52	1	337.4836236747008	62.53265100239048
403.9587397563257	eastMovingCar_53	1	350.16799036769953	53.79074938862618
407.37930133800677	eastMovingCar_54	1	358.04061344415277	49.338687893854
412.1833362925474	eastMovingCar_55	1	361.5022781206375	50.681058171909854
416.28261012736317	eastMovingCar_56	1	363.11297858118854	53.16963154617463
420.25395025042684	eastMovingCar_57	1	363.26317888895585	56.99077136147099
424.4916675304737	eastMovingCar_58	1	370.79173690003415	53.69993063043955
429.29096729623893	eastMovingCar_59	1	372.7940847023503	56.49688259388864
433.6388008336263	eastMovingCar_60	1	375.387440992854	58.251359840772295
437.7248270260156	eastMovingCar_61	1	379.5187456628081	58.20608136320749
441.45098473888874	eastMovingCar_62	1	388.20940334585754	53.2415813930312
445.45872443679013	eastMovingCar_63	1	388.3747129385891	57.08401149820105
449.8093320325356	eastMovingCar_64	1	402.48002539175206	47.32930664078356
453.98273067188205	eastMovingCar_65	1	414.4530955999849	39.52963507189713
458.03988580669335	eastMovingCar_66	1	415.03132051830187	43.00856528839148
462.1511238150716	eastMovingCar_67	1	419.52950792539497	42.62161588967666
467.0256452505156	eastMovingCar_68	1	419.89966037484896	47.12598487566663
470.8488481510511	eastMovingCar_69	1	423.8504284779837	46.99841967306736
474.84090625927627	eastMovingCar_70	1	451.12443046183284	23.716475797443422
478.80012597289164	eastMovingCar_71	1	463.59714439634035	15.20298157655128
545.2618500155863	eastMovingCar_72	1	470.47941071336	74.78243930222635
550.1093385161779	eastMovingCar_73	1	475.9052758539238	74.2040626622541
554.869580387576	eastMovingCar_74	1	480.6026832639925	74.26689712358348
558.7850283551255	eastMovingCar_75	1	483.7200670278755	75.06496132725005
563.016709524894	eastMovingCar_76	1	487.31819588187454	75.69851364301951
