Time	eventName	event	eventArrivingTime	waitingTime
18.031268512851526	westMovingCar_0	1	13.798004635471047	4.2332638773804785
29.00089809905674	westMovingCar_1	1	24.44336524303118	4.55753285602556
32.832226834401474	westMovingCar_2	1	24.55126821372075	8.280958620680725
46.29708045150264	westMovingCar_3	1	36.35600384568467	9.941076605817969
51.11905880305074	westMovingCar_4	1	41.83516658666557	9.28389221638517
55.19175512567996	westMovingCar_5	1	45.09156531260073	10.100189813079233
59.74962814337206	westMovingCar_6	1	45.7953213365549	13.954306806817158
89.5526383147829	westMovingCar_7	1	67.74012690643012	21.812511408352776
93.15805356269101	westMovingCar_8	1	75.06640973884946	18.09164382384155
104.7537241726504	westMovingCar_9	1	98.76258101763182	5.991143155018577
115.09485246830849	westMovingCar_10	1	110.34981794224531	4.745034526063179
126.27720429131227	westMovingCar_11	1	120.44851088044877	5.828693410863508
136.657848569233	westMovingCar_12	1	132.0435299712333	4.614318597999699
197.12038540217668	westMovingCar_13	1	144.83797782208592	52.28240758009076
200.4478018058218	westMovingCar_14	1	155.73184331054696	44.71595849527483
204.293027753373	westMovingCar_15	1	156.6888575081054	47.604170245267596
207.5432285511109	westMovingCar_16	1	157.5327096628435	50.0105188882674
211.75020544856815	westMovingCar_17	1	157.64242786477556	54.1077775837926
216.09914022882361	westMovingCar_18	1	165.55140924040498	50.547730988418635
219.8055151232583	westMovingCar_19	1	182.1718787091209	37.633636414137385
223.93562388510333	westMovingCar_20	1	205.4490373742296	18.486586510873735
227.72789257917293	westMovingCar_21	1	214.35300474323643	13.374887835936505
231.01211286431646	westMovingCar_22	1	215.31690119961854	15.695211664697922
234.8906771710413	westMovingCar_23	1	219.22011823022322	15.670558940818069
239.08293508662774	westMovingCar_24	1	229.5519052037654	9.531029882862356
242.77675920837314	westMovingCar_25	1	236.4905016944083	6.286257513964841
246.24045647558597	westMovingCar_26	1	238.133709693224	8.106746782361967
307.01895246697893	westMovingCar_27	1	252.55139337140415	54.467559095574785
311.20148499230925	westMovingCar_28	1	259.79690123359717	51.40458375871208
315.68124396041566	westMovingCar_29	1	262.25737749302436	53.42386646739129
319.1262280121838	westMovingCar_30	1	267.33390627534266	51.79232173684113
323.079759718815	westMovingCar_31	1	276.6044708028981	46.475288915916906
326.8694467894715	westMovingCar_32	1	277.73615122695503	49.13329556251648
331.152271041024	westMovingCar_33	1	287.2572525268314	43.8950185141926
335.165337310398	westMovingCar_34	1	289.1062662376956	46.05907107270241
339.1025598852705	westMovingCar_35	1	291.2626059326235	47.83995395264702
343.60383184168603	westMovingCar_36	1	293.6192230352245	49.98460880646155
347.5094114735196	westMovingCar_37	1	319.57411581475424	27.93529565876537
351.2823955753102	westMovingCar_38	1	322.8973070205311	28.385088554779088
355.1532857958793	westMovingCar_39	1	344.31055854925506	10.842727246624236
482.75428904458175	westMovingCar_40	1	358.86120182540446	123.89308721917729
487.28717662953744	westMovingCar_41	1	385.947588946355	101.33958768318246
491.52611821514876	westMovingCar_42	1	425.979291332742	65.54682688240678
496.09336947586144	westMovingCar_43	1	427.011706113021	69.08166336284046
499.9226862848868	westMovingCar_44	1	429.3316182764939	70.59106800839294
504.4222069393205	westMovingCar_45	1	435.94977689841494	68.47243004090558
508.6804676772627	westMovingCar_46	1	437.6999563272435	70.98051135001919
512.4299411136435	westMovingCar_47	1	452.52721742045645	59.902723693187056
516.6972465442343	westMovingCar_48	1	478.64363639534326	38.05361014889104
520.8409133748519	westMovingCar_49	1	483.45658234870814	37.38433102614374
524.8619834047179	westMovingCar_50	1	498.80829856343485	26.05368484128303
529.5279782879587	westMovingCar_51	1	499.0458519093324	30.482126378626333
533.2691354900887	westMovingCar_52	1	503.77148492188473	29.497650568203994
537.1167446084995	westMovingCar_53	1	511.8396852574007	25.277059351098842
540.7620369355501	westMovingCar_54	1	530.5568971535255	10.205139782024617
666.4498692330525	westMovingCar_55	1	564.0958594300445	102.35400980300801
669.74678167431	westMovingCar_56	1	566.048300538935	103.698481135375
673.2874747223879	westMovingCar_57	1	568.4486541666005	104.83882055578738
677.5378138114586	westMovingCar_58	1	573.2451655735143	104.29264823794426
680.6870260220705	westMovingCar_59	1	617.2699410871708	63.417084934899776
684.3468656927375	westMovingCar_60	1	634.2691952901628	50.07767040257477
689.3036397520433	westMovingCar_61	1	642.6146780737299	46.688961678313376
694.032715436287	westMovingCar_62	1	673.9434406347142	20.089274801572856
697.2170858231359	westMovingCar_63	1	687.0392595004275	10.17782632270837
761.0885750009728	westMovingCar_64	1	707.9685745645853	53.1200004363875
765.5603315991101	westMovingCar_65	1	712.3622225603841	53.19810903872599
769.2184058001826	westMovingCar_66	1	722.873360198706	46.34504560147661
773.3842511342341	westMovingCar_67	1	727.5161792836881	45.868071850546016
777.002778299046	westMovingCar_68	1	731.18096211783	45.821816181216036
781.048697127432	westMovingCar_69	1	734.882870864714	46.16582626271793
785.1215908146329	westMovingCar_70	1	755.255290981846	29.866299832786922
789.0097956182522	westMovingCar_71	1	767.769189317729	21.240606300523154
792.8798770819046	westMovingCar_72	1	768.9054444698252	23.974432612079454
796.6465950226708	westMovingCar_73	1	771.5857245162538	25.060870506417018
801.3189274770776	westMovingCar_74	1	776.6489916775031	24.669935799574546
805.0930506699264	westMovingCar_75	1	795.1840555483584	9.908995121567955
871.4153596381714	westMovingCar_76	1	810.0711492755078	61.3442103626636
875.3653615022827	westMovingCar_77	1	812.4361857503692	62.929175751913476
879.0524977279061	westMovingCar_78	1	830.2025427102949	48.84995501761125
