Time	eventName	event
4.622485948811487	eastMovingCar_0	1
26.152214933833218	eastMovingCar_1	1
32.42499458883457	eastMovingCar_2	1
43.28750511718185	eastMovingCar_3	1
55.5191403876713	eastMovingCar_4	1
60.48082946024922	eastMovingCar_5	1
67.34538302609072	eastMovingCar_6	1
68.78538953757652	eastMovingCar_7	1
79.05570477130277	eastMovingCar_8	1
97.32644371418952	eastMovingCar_9	1
101.50451892631034	eastMovingCar_10	1
110.41296510279433	eastMovingCar_11	1
114.06742842619384	eastMovingCar_12	1
128.35877317962152	eastMovingCar_13	1
134.26501191794483	eastMovingCar_14	1
139.37422909971855	eastMovingCar_15	1
140.0389335730713	eastMovingCar_16	1
142.79660526578724	eastMovingCar_17	1
147.14212197226618	eastMovingCar_18	1
147.3629826400582	eastMovingCar_19	1
148.085667283341	eastMovingCar_20	1
153.424851598481	eastMovingCar_21	1
153.87833938084972	eastMovingCar_22	1
154.73733098489149	eastMovingCar_23	1
156.43231571647027	eastMovingCar_24	1
158.61166104368823	eastMovingCar_25	1
182.85225107166838	eastMovingCar_26	1
185.02560299588694	eastMovingCar_27	1
197.21689872768272	eastMovingCar_28	1
208.3296714467671	eastMovingCar_29	1
211.84346212558083	eastMovingCar_30	1
218.5010523375448	eastMovingCar_31	1
221.57403514929499	eastMovingCar_32	1
245.8252072091317	eastMovingCar_33	1
256.85481703711565	eastMovingCar_34	1
260.1314018036905	eastMovingCar_35	1
261.53729312248805	eastMovingCar_36	1
270.0345392830274	eastMovingCar_37	1
273.7441343773436	eastMovingCar_38	1
284.64757328373344	eastMovingCar_39	1
287.04922229490643	eastMovingCar_40	1
294.8239475047013	eastMovingCar_41	1
309.1382547715583	eastMovingCar_42	1
309.74694630596645	eastMovingCar_43	1
311.18950150976775	eastMovingCar_44	1
313.4898835553047	eastMovingCar_45	1
314.5637124665102	eastMovingCar_46	1
323.7771948210137	eastMovingCar_47	1
331.79871837149074	eastMovingCar_48	1
331.84149573784777	eastMovingCar_49	1
332.22064962553463	eastMovingCar_50	1
334.8661358060364	eastMovingCar_51	1
337.4836236747008	eastMovingCar_52	1
350.16799036769953	eastMovingCar_53	1
358.04061344415277	eastMovingCar_54	1
361.5022781206375	eastMovingCar_55	1
363.11297858118854	eastMovingCar_56	1
363.26317888895585	eastMovingCar_57	1
370.79173690003415	eastMovingCar_58	1
372.7940847023503	eastMovingCar_59	1
375.387440992854	eastMovingCar_60	1
379.5187456628081	eastMovingCar_61	1
388.20940334585754	eastMovingCar_62	1
388.3747129385891	eastMovingCar_63	1
402.48002539175206	eastMovingCar_64	1
414.4530955999849	eastMovingCar_65	1
415.03132051830187	eastMovingCar_66	1
419.52950792539497	eastMovingCar_67	1
419.89966037484896	eastMovingCar_68	1
423.8504284779837	eastMovingCar_69	1
451.12443046183284	eastMovingCar_70	1
463.59714439634035	eastMovingCar_71	1
470.47941071336	eastMovingCar_72	1
475.9052758539238	eastMovingCar_73	1
480.6026832639925	eastMovingCar_74	1
483.7200670278755	eastMovingCar_75	1
487.31819588187454	eastMovingCar_76	1
491.56943766783354	eastMovingCar_77	1
495.79994265625254	eastMovingCar_78	1
506.90674506071946	eastMovingCar_79	1
508.47086332414807	eastMovingCar_80	1
509.5030019634972	eastMovingCar_81	1
