Time	eventName	event
13.798004635471047	westMovingCar_0	1
24.44336524303118	westMovingCar_1	1
24.55126821372075	westMovingCar_2	1
36.35600384568467	westMovingCar_3	1
41.83516658666557	westMovingCar_4	1
45.09156531260073	westMovingCar_5	1
45.7953213365549	westMovingCar_6	1
67.74012690643012	westMovingCar_7	1
75.06640973884946	westMovingCar_8	1
98.76258101763182	westMovingCar_9	1
110.34981794224531	westMovingCar_10	1
120.44851088044877	westMovingCar_11	1
132.0435299712333	westMovingCar_12	1
144.83797782208592	westMovingCar_13	1
155.73184331054696	westMovingCar_14	1
156.6888575081054	westMovingCar_15	1
157.5327096628435	westMovingCar_16	1
157.64242786477556	westMovingCar_17	1
165.55140924040498	westMovingCar_18	1
182.1718787091209	westMovingCar_19	1
205.4490373742296	westMovingCar_20	1
214.35300474323643	westMovingCar_21	1
215.31690119961854	westMovingCar_22	1
219.22011823022322	westMovingCar_23	1
229.5519052037654	westMovingCar_24	1
236.4905016944083	westMovingCar_25	1
238.133709693224	westMovingCar_26	1
252.55139337140415	westMovingCar_27	1
259.79690123359717	westMovingCar_28	1
262.25737749302436	westMovingCar_29	1
267.33390627534266	westMovingCar_30	1
276.6044708028981	westMovingCar_31	1
277.73615122695503	westMovingCar_32	1
287.2572525268314	westMovingCar_33	1
289.1062662376956	westMovingCar_34	1
291.2626059326235	westMovingCar_35	1
293.6192230352245	westMovingCar_36	1
319.57411581475424	westMovingCar_37	1
322.8973070205311	westMovingCar_38	1
344.31055854925506	westMovingCar_39	1
358.86120182540446	westMovingCar_40	1
385.947588946355	westMovingCar_41	1
425.979291332742	westMovingCar_42	1
427.011706113021	westMovingCar_43	1
429.3316182764939	westMovingCar_44	1
435.94977689841494	westMovingCar_45	1
437.6999563272435	westMovingCar_46	1
452.52721742045645	westMovingCar_47	1
478.64363639534326	westMovingCar_48	1
483.45658234870814	westMovingCar_49	1
498.80829856343485	westMovingCar_50	1
499.0458519093324	westMovingCar_51	1
503.77148492188473	westMovingCar_52	1
511.8396852574007	westMovingCar_53	1
530.5568971535255	westMovingCar_54	1
564.0958594300445	westMovingCar_55	1
566.048300538935	westMovingCar_56	1
568.4486541666005	westMovingCar_57	1
573.2451655735143	westMovingCar_58	1
617.2699410871708	westMovingCar_59	1
634.2691952901628	westMovingCar_60	1
642.6146780737299	westMovingCar_61	1
673.9434406347142	westMovingCar_62	1
687.0392595004275	westMovingCar_63	1
707.9685745645853	westMovingCar_64	1
712.3622225603841	westMovingCar_65	1
722.873360198706	westMovingCar_66	1
727.5161792836881	westMovingCar_67	1
731.18096211783	westMovingCar_68	1
734.882870864714	westMovingCar_69	1
755.255290981846	westMovingCar_70	1
767.769189317729	westMovingCar_71	1
768.9054444698252	westMovingCar_72	1
771.5857245162538	westMovingCar_73	1
776.6489916775031	westMovingCar_74	1
795.1840555483584	westMovingCar_75	1
810.0711492755078	westMovingCar_76	1
812.4361857503692	westMovingCar_77	1
830.2025427102949	westMovingCar_78	1
859.6883899432764	westMovingCar_79	1
861.2008658921086	westMovingCar_80	1
891.4228548348605	westMovingCar_81	1
891.9097265426528	westMovingCar_82	1
