Time	eastMoving_arrvCarCount_noise	westMoving_arrvCarCount_noise	eastMoving_dptCarCount_noise	westMoving_dptCarCount_noise	westSideQueue	eastSideQueue	TrafficLight	phaseSigma	elapseTimeInGreen	carPassingTime_mean	eastMoving_arrvCarCount	westMoving_arrvCarCount	eastMoving_dptCarCount	westMoving_dptCarCount
1680.0	4	6	2	6	2	0	20	0.021233306096142712	9.162515306947686	4.0	4	5	2	5
1710.0	4	4	4	3	2	0	0	2.4797154738094607	12.749957454597569	4.0	4	4	5	3
1740.0	2	2	2	3	1	0	20	1.2757895697654176	3.1132417226358484	4.0	2	2	2	3
1770.0	2	1	4	1	0	0	20	Infinity	5.671624741136391	4.0	2	1	4	1
1800.0	1	3	0	3	0	0	20	0.6894552985535713	2.6052318333815947	4.0	1	3	0	3
1830.0	4	2	3	2	1	0	20	2.1998858082043053	1.8871387074989343	4.0	4	2	3	2
1860.0	3	2	5	2	0	0	0	Infinity	8.847676327619727	4.0	3	2	5	2
1890.0	5	3	2	3	1	0	20	4.432850252937432	0.0227615766841609	4.0	5	3	3	3
1920.0	2	1	4	1	0	0	20	Infinity	18.463300786268498	4.0	2	1	4	1
1950.0	4	1	3	1	1	0	20	3.8046630761258307	8.064832087693896	4.0	5	1	3	1
1980.0	6	4	5	2	1	2	20	1.4413818198412782	9.864038075764665	4.0	5	4	5	2
2010.0	4	2	3	4	2	0	20	0.6101745428964618	6.964700950294504	4.0	4	2	3	4
2040.0	3	2	4	2	0	0	20	1.9950617524678362	2.424394703914004	4.0	3	2	5	2
2070.0	5	1	6	0	0	0	0	3.2195553899617857	0.41457557981902937	4.0	5	1	6	0
2100.0	5	1	4	2	0	0	20	3.2785762350708696	22.524822687000846	4.0	5	1	4	2
2130.0	2	3	2	3	0	0	20	0.9583164157137629	12.893771509332641	4.0	2	3	2	3
2160.0	4	2	4	1	1	1	20	0.07238995266749892	11.516842537240686	4.0	5	2	4	1
2190.0	6	2	6	2	1	1	20	3.0359142859247132	17.803557472264025	4.0	6	2	6	2
2220.0	5	3	5	2	2	1	0	2.6435768991463284	10.446978472478284	4.0	5	3	5	2
2250.0	4	1	4	3	1	0	20	2.21164057349609	18.60454536519451	4.0	4	1	4	3
2280.0	4	4	7	1	0	2	0	1.8431175265848498	6.628855214487024	4.0	4	4	6	1
2310.0	7	3	2	5	3	1	20	0.5955171906425454	11.515406577284164	4.0	6	3	2	5
2340.0	3	5	6	2	1	4	0	3.0765130305742137	9.46707137083867	4.0	3	6	6	2
2370.0	2	3	0	6	3	1	0	2.187595583815991	39.46707137083845	4.0	2	4	0	7
